Education Level,Salary,Years of Experience,Age
Bachelor Degree or Equivalent,132636,23.0,49.5
Master Degree or Equivalent,36027,4.0,39.5
Professional Degree,3286,2.0,21.0
Associate Degree or Short-cycle Tertiary Education,104500,25.0,39.5
Bachelor Degree or Equivalent,3572,12.0,39.5
Bachelor Degree or Equivalent,7002,5.0,29.5
Associate Degree or Short-cycle Tertiary Education,55000,15.0,29.5
Associate Degree or Short-cycle Tertiary Education,165000,31.0,49.5
Bachelor Degree or Equivalent,140000,2.0,39.5
Associate Degree or Short-cycle Tertiary Education,97750,5.0,29.5
Bachelor Degree or Equivalent,59481,8.0,29.5
Bachelor Degree or Equivalent,134499,3.0,21.0
Bachelor Degree or Equivalent,190000,20.0,39.5
Associate Degree or Short-cycle Tertiary Education,70000,18.0,39.5
Bachelor Degree or Equivalent,141000,10.0,39.5
Associate Degree or Short-cycle Tertiary Education,155000,7.0,39.5
Secondary Education,241000,10.0,29.5
Bachelor Degree or Equivalent,29741,1.0,21.0
Professional Degree,100000,3.0,39.5
Bachelor Degree or Equivalent,100000,6.0,39.5
Bachelor Degree or Equivalent,52,5.0,39.5
Bachelor Degree or Equivalent,1500000,15.0,39.5
Associate Degree or Short-cycle Tertiary Education,86000,16.0,49.5
Associate Degree or Short-cycle Tertiary Education,318250,14.0,39.5
Associate Degree or Short-cycle Tertiary Education,44611,15.0,49.5
Master Degree or Equivalent,172000,17.0,39.5
Associate Degree or Short-cycle Tertiary Education,81000,30.0,49.5
Bachelor Degree or Equivalent,200000,24.0,49.5
Master Degree or Equivalent,275000,7.0,29.5
Professional Degree,26245,3.0,39.5
Master Degree or Equivalent,250000,12.0,39.5
Bachelor Degree or Equivalent,165000,5.0,29.5
Master Degree or Equivalent,103110.08171765343,20.0,70.0
Bachelor Degree or Equivalent,312000,10.0,29.5
Bachelor Degree or Equivalent,140000,7.0,29.5
Primary Education,84,6.0,29.5
Bachelor Degree or Equivalent,267665,20.0,39.5
Master Degree or Equivalent,312000,4.0,39.5
Associate Degree or Short-cycle Tertiary Education,180000,7.0,39.5
Bachelor Degree or Equivalent,154625,25.0,39.5
,52046,32.0,49.5
Associate Degree or Short-cycle Tertiary Education,37241,0.0,29.5
Associate Degree or Short-cycle Tertiary Education,92000,10.0,59.5
Master Degree or Equivalent,117000,10.0,29.5
Bachelor Degree or Equivalent,350000,34.0,70.0
Associate Degree or Short-cycle Tertiary Education,97000,15.0,39.5
Bachelor Degree or Equivalent,85000,3.0,39.5
Professional Degree,65491,10.0,39.5
Associate Degree or Short-cycle Tertiary Education,50332,7.0,29.5
Bachelor Degree or Equivalent,170000,3.0,21.0
Bachelor Degree or Equivalent,130000,11.0,29.5
Bachelor Degree or Equivalent,8034,1.0,29.5
Bachelor Degree or Equivalent,96436,10.0,29.5
Associate Degree or Short-cycle Tertiary Education,149000,37.0,49.5
Associate Degree or Short-cycle Tertiary Education,29334,3.0,29.5
Secondary Education,4819,5.0,29.5
Professional Degree,175000,9.0,39.5
Associate Degree or Short-cycle Tertiary Education,80000,3.0,29.5
Bachelor Degree or Equivalent,5000,11.0,39.5
Bachelor Degree or Equivalent,39992,10.0,29.5
Bachelor Degree or Equivalent,124138,28.0,49.5
Master Degree or Equivalent,537000,8.0,29.5
Bachelor Degree or Equivalent,48414,5.0,29.5
Associate Degree or Short-cycle Tertiary Education,257256,29.0,49.5
Associate Degree or Short-cycle Tertiary Education,425000,25.0,49.5
Master Degree or Equivalent,140000,6.0,39.5
Bachelor Degree or Equivalent,135000,3.0,21.0
Master Degree or Equivalent,81787,3.0,29.5
Bachelor Degree or Equivalent,101000,20.0,39.5
Master Degree or Equivalent,85408,5.0,29.5
Bachelor Degree or Equivalent,27023,3.0,29.5
Bachelor Degree or Equivalent,93312,4.0,29.5
Bachelor Degree or Equivalent,110000,23.0,49.5
Bachelor Degree or Equivalent,250000,25.0,59.5
Professional Degree,130000,10.0,39.5
Master Degree or Equivalent,128507,23.0,49.5
Secondary Education,60704,8.0,49.5
Associate Degree or Short-cycle Tertiary Education,145000,18.0,39.5
Associate Degree or Short-cycle Tertiary Education,170000,14.0,39.5
Master Degree or Equivalent,69608,25.0,49.5
Bachelor Degree or Equivalent,78250,8.0,29.5
Bachelor Degree or Equivalent,102000,4.0,29.5
Secondary Education,103110.08171765343,40.0,70.0
Master Degree or Equivalent,175000,35.0,59.5
Bachelor Degree or Equivalent,196000,13.0,29.5
Associate Degree or Short-cycle Tertiary Education,130,10.0,39.5
Bachelor Degree or Equivalent,210000,10.0,29.5
Associate Degree or Short-cycle Tertiary Education,108000,8.0,39.5
Master Degree or Equivalent,350000,15.0,49.5
Associate Degree or Short-cycle Tertiary Education,138020,17.0,39.5
Bachelor Degree or Equivalent,160000,37.0,59.5
Master Degree or Equivalent,48000,9.0,29.5
Master Degree or Equivalent,160000,3.0,29.5
Bachelor Degree or Equivalent,27388,9.0,29.5
Bachelor Degree or Equivalent,350000,10.0,29.5
Master Degree or Equivalent,220000,2.0,29.5
Associate Degree or Short-cycle Tertiary Education,80317,9.0,39.5
Bachelor Degree or Equivalent,231357,21.0,39.5
Secondary Education,37481,20.0,49.5
Bachelor Degree or Equivalent,124138,15.0,29.5
Associate Degree or Short-cycle Tertiary Education,152000,8.0,29.5
Bachelor Degree or Equivalent,52102,3.0,29.5
Master Degree or Equivalent,124000,14.0,59.5
Bachelor Degree or Equivalent,205000,19.0,39.5
Bachelor Degree or Equivalent,96657,5.0,29.5
Bachelor Degree or Equivalent,94286,38.0,59.5
Bachelor Degree or Equivalent,100000,25.0,49.5
Master Degree or Equivalent,206000,11.0,49.5
Secondary Education,123404,10.0,29.5
Associate Degree or Short-cycle Tertiary Education,45000,20.0,39.5
Bachelor Degree or Equivalent,170000,21.0,39.5
Professional Degree,390000,15.0,39.5
Master Degree or Equivalent,155280,18.0,39.5
Professional Degree,300000,6.0,39.5
Bachelor Degree or Equivalent,14890,7.0,29.5
Master Degree or Equivalent,57828,10.0,29.5
Master Degree or Equivalent,175000,23.0,49.5
Secondary Education,42836,5.0,21.0
Bachelor Degree or Equivalent,27276,1.0,21.0
Bachelor Degree or Equivalent,130000,30.0,49.5
Bachelor Degree or Equivalent,15013,2.0,29.5
Associate Degree or Short-cycle Tertiary Education,95000,3.0,39.5
Associate Degree or Short-cycle Tertiary Education,110000,4.0,39.5
Bachelor Degree or Equivalent,137000,3.0,29.5
Bachelor Degree or Equivalent,128294,17.0,39.5
Professional Degree,38709,7.0,29.5
Bachelor Degree or Equivalent,34501,5.0,29.5
Bachelor Degree or Equivalent,250000,32.0,49.5
Master Degree or Equivalent,42836,11.0,29.5
Bachelor Degree or Equivalent,155000,18.0,39.5
Bachelor Degree or Equivalent,69517,6.0,29.5
Master Degree or Equivalent,6425,6.0,29.5
Master Degree or Equivalent,72000,15.0,39.5
Bachelor Degree or Equivalent,260000,3.0,39.5
Master Degree or Equivalent,140000,31.0,49.5
Bachelor Degree or Equivalent,160367,4.0,29.5
Master Degree or Equivalent,85983,9.0,29.5
Master Degree or Equivalent,71779,18.0,39.5
Master Degree or Equivalent,174900,17.0,39.5
Bachelor Degree or Equivalent,60112,8.0,29.5
Master Degree or Equivalent,153000,19.0,39.5
Master Degree or Equivalent,89147,4.0,29.5
Associate Degree or Short-cycle Tertiary Education,150000,30.0,49.5
Bachelor Degree or Equivalent,21960,4.0,29.5
Master Degree or Equivalent,58161,22.0,39.5
Associate Degree or Short-cycle Tertiary Education,133833,24.0,49.5
Professional Degree,69608,12.0,39.5
Professional Degree,270000,28.0,59.5
Master Degree or Equivalent,150000,19.0,39.5
Secondary Education,80690,8.0,29.5
Bachelor Degree or Equivalent,59970,18.0,39.5
Master Degree or Equivalent,160000,38.0,59.5
Master Degree or Equivalent,45000,12.0,39.5
,103110.08171765343,4.0,39.5
Bachelor Degree or Equivalent,80149,3.0,29.5
Bachelor Degree or Equivalent,200000,33.0,59.5
Master Degree or Equivalent,148703,6.0,39.5
Bachelor Degree or Equivalent,48809,5.0,29.5
Associate Degree or Short-cycle Tertiary Education,139216,2.0,21.0
Bachelor Degree or Equivalent,46049,8.0,49.5
Master Degree or Equivalent,93104,8.0,39.5
Associate Degree or Short-cycle Tertiary Education,214179,22.0,29.5
Bachelor Degree or Equivalent,46531,10.0,29.5
Associate Degree or Short-cycle Tertiary Education,95000,17.0,39.5
Master Degree or Equivalent,65075,9.0,39.5
Master Degree or Equivalent,135919,17.0,39.5
Bachelor Degree or Equivalent,103035,34.0,59.5
Bachelor Degree or Equivalent,224000,9.0,39.5
Professional Degree,275541,7.0,29.5
Associate Degree or Short-cycle Tertiary Education,117000,9.0,39.5
Master Degree or Equivalent,101735,31.0,49.5
Bachelor Degree or Equivalent,86897,3.0,21.0
Bachelor Degree or Equivalent,92939,35.0,49.5
Master Degree or Equivalent,140000,10.0,39.5
Associate Degree or Short-cycle Tertiary Education,49463,7.0,29.5
Master Degree or Equivalent,133833,15.0,39.5
Bachelor Degree or Equivalent,22500,8.0,29.5
Master Degree or Equivalent,103110.08171765343,6.0,59.5
Associate Degree or Short-cycle Tertiary Education,241642,35.0,59.5
Master Degree or Equivalent,224000,9.0,29.5
Associate Degree or Short-cycle Tertiary Education,500000,20.0,39.5
Bachelor Degree or Equivalent,48328,25.0,39.5
Bachelor Degree or Equivalent,115000,5.0,39.5
Professional Degree,17175,7.0,29.5
Bachelor Degree or Equivalent,28800,2.0,21.0
Bachelor Degree or Equivalent,110000,17.0,49.5
Associate Degree or Short-cycle Tertiary Education,59481,8.0,29.5
Associate Degree or Short-cycle Tertiary Education,95000,6.0,29.5
Bachelor Degree or Equivalent,72000,34.0,70.0
Professional Degree,103110.08171765343,29.0,59.5
Bachelor Degree or Equivalent,5,3.0,21.0
Bachelor Degree or Equivalent,93810,7.0,29.5
Bachelor Degree or Equivalent,6531,0.0,29.5
Primary Education,122082,7.0,29.5
Bachelor Degree or Equivalent,77000,9.0,29.5
Bachelor Degree or Equivalent,1680,2.0,21.0
Bachelor Degree or Equivalent,85000,1.0,39.5
Master Degree or Equivalent,160000,7.0,29.5
Master Degree or Equivalent,43415,6.0,29.5
Associate Degree or Short-cycle Tertiary Education,21534,3.0,29.5
Bachelor Degree or Equivalent,70634,5.0,29.5
Master Degree or Equivalent,136000,6.0,39.5
Bachelor Degree or Equivalent,105000,20.0,39.5
Master Degree or Equivalent,211035,25.0,49.5
Bachelor Degree or Equivalent,118750,3.0,21.0
Primary Education,103110.08171765343,12.0,29.5
Master Degree or Equivalent,78069,28.0,49.5
Master Degree or Equivalent,84601,11.237177936373532,39.5
,68395,10.0,29.5
Bachelor Degree or Equivalent,210000,27.0,49.5
Professional Degree,72000,8.0,39.5
Bachelor Degree or Equivalent,125000,16.0,39.5
Associate Degree or Short-cycle Tertiary Education,190000,30.0,49.5
Master Degree or Equivalent,200000,38.0,59.5
Associate Degree or Short-cycle Tertiary Education,172000,6.0,29.5
Bachelor Degree or Equivalent,38303,15.0,39.5
Bachelor Degree or Equivalent,200000,19.0,39.5
Associate Degree or Short-cycle Tertiary Education,66931,15.0,39.5
Master Degree or Equivalent,80000,7.0,29.5
Associate Degree or Short-cycle Tertiary Education,58471,14.0,29.5
Associate Degree or Short-cycle Tertiary Education,107090,15.0,39.5
Associate Degree or Short-cycle Tertiary Education,53533,4.0,21.0
Secondary Education,74427,10.0,29.5
Bachelor Degree or Equivalent,40000,10.0,29.5
Master Degree or Equivalent,50000,20.0,49.5
Bachelor Degree or Equivalent,365000,6.0,29.5
Bachelor Degree or Equivalent,142000,13.0,39.5
Bachelor Degree or Equivalent,72000,23.0,39.5
Bachelor Degree or Equivalent,240000,10.0,39.5
Associate Degree or Short-cycle Tertiary Education,10649,1.0,21.0
Master Degree or Equivalent,33,25.0,49.5
Master Degree or Equivalent,68400,7.0,29.5
Bachelor Degree or Equivalent,85000,10.0,39.5
Master Degree or Equivalent,185000,13.0,39.5
Master Degree or Equivalent,99500,4.0,29.5
Associate Degree or Short-cycle Tertiary Education,96657,21.0,39.5
Associate Degree or Short-cycle Tertiary Education,140000,27.0,39.5
Master Degree or Equivalent,180000,43.0,59.5
Bachelor Degree or Equivalent,148703,22.0,59.5
Bachelor Degree or Equivalent,47374,2.0,21.0
Master Degree or Equivalent,182700,17.0,29.5
Bachelor Degree or Equivalent,34048,10.0,29.5
Bachelor Degree or Equivalent,85000,8.0,39.5
Bachelor Degree or Equivalent,147000,20.0,39.5
Master Degree or Equivalent,11512,18.0,49.5
Master Degree or Equivalent,40694,5.0,29.5
Bachelor Degree or Equivalent,360000,9.0,29.5
Bachelor Degree or Equivalent,165000,7.0,39.5
Bachelor Degree or Equivalent,30000,4.0,29.5
Bachelor Degree or Equivalent,34537,8.0,29.5
Master Degree or Equivalent,51403,6.0,49.5
Master Degree or Equivalent,28403,4.0,39.5
Master Degree or Equivalent,91094,9.0,29.5
Master Degree or Equivalent,370000,10.0,29.5
Bachelor Degree or Equivalent,86248,5.0,21.0
Associate Degree or Short-cycle Tertiary Education,165000,10.0,29.5
Bachelor Degree or Equivalent,55764,2.0,29.5
Bachelor Degree or Equivalent,125000,15.0,39.5
Associate Degree or Short-cycle Tertiary Education,250000,33.0,49.5
Bachelor Degree or Equivalent,70678,9.0,29.5
Bachelor Degree or Equivalent,106912,12.0,29.5
Bachelor Degree or Equivalent,69600,5.0,29.5
Master Degree or Equivalent,240000,9.0,39.5
Associate Degree or Short-cycle Tertiary Education,36625,8.0,29.5
Bachelor Degree or Equivalent,140000,22.0,49.5
Bachelor Degree or Equivalent,46684,3.0,39.5
Primary Education,116728,18.0,29.5
Master Degree or Equivalent,71779,12.0,29.5
Associate Degree or Short-cycle Tertiary Education,130000,10.0,29.5
Associate Degree or Short-cycle Tertiary Education,53559,3.0,29.5
Bachelor Degree or Equivalent,107810,33.0,59.5
Associate Degree or Short-cycle Tertiary Education,160000,38.0,59.5
Master Degree or Equivalent,10248,2.0,29.5
Bachelor Degree or Equivalent,142000,43.0,70.0
Bachelor Degree or Equivalent,137550,22.0,49.5
Bachelor Degree or Equivalent,42937,3.0,29.5
Master Degree or Equivalent,103110.08171765343,3.0,59.5
Bachelor Degree or Equivalent,150000,22.0,49.5
Bachelor Degree or Equivalent,43907,6.0,29.5
Master Degree or Equivalent,350000,15.0,39.5
Associate Degree or Short-cycle Tertiary Education,42836,22.0,39.5
Bachelor Degree or Equivalent,53762,16.0,39.5
Bachelor Degree or Equivalent,95310,8.0,29.5
Associate Degree or Short-cycle Tertiary Education,215000,18.0,39.5
Bachelor Degree or Equivalent,135311,13.0,39.5
Primary Education,57513831,7.0,29.5
Bachelor Degree or Equivalent,178000,4.0,29.5
Bachelor Degree or Equivalent,87000,3.0,29.5
Professional Degree,59710,5.0,29.5
Bachelor Degree or Equivalent,80000,5.0,21.0
Bachelor Degree or Equivalent,9696,2.0,29.5
Master Degree or Equivalent,150000,8.0,39.5
Associate Degree or Short-cycle Tertiary Education,150000,10.0,49.5
Master Degree or Equivalent,130000,24.0,59.5
Bachelor Degree or Equivalent,65797,7.0,29.5
Bachelor Degree or Equivalent,119000,23.0,49.5
Bachelor Degree or Equivalent,120000,0.0,29.5
Bachelor Degree or Equivalent,30431,15.0,39.5
Bachelor Degree or Equivalent,110483,26.0,59.5
Professional Degree,152000,20.0,39.5
Bachelor Degree or Equivalent,27118,2.0,21.0
Master Degree or Equivalent,18175,10.0,29.5
Professional Degree,101000,7.0,29.5
Master Degree or Equivalent,1050,3.0,29.5
Associate Degree or Short-cycle Tertiary Education,144985,7.0,29.5
Bachelor Degree or Equivalent,380000,10.0,29.5
Associate Degree or Short-cycle Tertiary Education,147538,20.0,39.5
Master Degree or Equivalent,175000,24.0,59.5
Associate Degree or Short-cycle Tertiary Education,167000,9.0,29.5
Master Degree or Equivalent,133833,16.0,39.5
Bachelor Degree or Equivalent,39095,7.0,29.5
Associate Degree or Short-cycle Tertiary Education,3589,3.0,39.5
Bachelor Degree or Equivalent,133000,3.0,21.0
Bachelor Degree or Equivalent,84761,8.0,29.5
Master Degree or Equivalent,23024,7.0,29.5
Secondary Education,46071,16.0,49.5
Master Degree or Equivalent,600000,32.0,59.5
Associate Degree or Short-cycle Tertiary Education,84000,30.0,49.5
Master Degree or Equivalent,105000,41.0,70.0
Associate Degree or Short-cycle Tertiary Education,162000,6.0,39.5
Bachelor Degree or Equivalent,37325,3.0,29.5
Master Degree or Equivalent,110000,2.0,29.5
Bachelor Degree or Equivalent,13584,6.0,21.0
Bachelor Degree or Equivalent,112966,17.0,39.5
Master Degree or Equivalent,30431,2.0,21.0
Associate Degree or Short-cycle Tertiary Education,47914,6.0,29.5
Bachelor Degree or Equivalent,180000,49.0,70.0
Bachelor Degree or Equivalent,250000,25.0,49.5
Bachelor Degree or Equivalent,29985,12.0,49.5
Bachelor Degree or Equivalent,175000,20.0,39.5
Bachelor Degree or Equivalent,80000,6.0,29.5
Bachelor Degree or Equivalent,120000,14.0,49.5
Bachelor Degree or Equivalent,11,8.0,29.5
Bachelor Degree or Equivalent,40000,6.0,29.5
Master Degree or Equivalent,52774,3.0,29.5
Bachelor Degree or Equivalent,62500,6.0,21.0
Bachelor Degree or Equivalent,162000,17.0,39.5
Bachelor Degree or Equivalent,110000,25.0,49.5
Bachelor Degree or Equivalent,170000,11.0,29.5
Bachelor Degree or Equivalent,18420,1.0,29.5
Master Degree or Equivalent,129000,4.0,21.0
Bachelor Degree or Equivalent,300000,38.0,59.5
Master Degree or Equivalent,16964,2.0,29.5
,103110.08171765343,33.0,59.5
Associate Degree or Short-cycle Tertiary Education,160000,13.0,39.5
Bachelor Degree or Equivalent,34945,15.0,29.5
Bachelor Degree or Equivalent,65000,1.0,39.5
Professional Degree,103110.08171765343,25.0,70.0
Master Degree or Equivalent,160634,30.0,70.0
Master Degree or Equivalent,107887,11.0,39.5
Bachelor Degree or Equivalent,141268,21.0,49.5
Professional Degree,235000,20.0,39.5
Bachelor Degree or Equivalent,157000,27.0,49.5
Master Degree or Equivalent,152760,12.0,39.5
Master Degree or Equivalent,265000,19.0,39.5
Master Degree or Equivalent,106000,12.0,39.5
Bachelor Degree or Equivalent,39724,2.0,21.0
Bachelor Degree or Equivalent,86619,8.0,29.5
Associate Degree or Short-cycle Tertiary Education,114828,11.0,29.5
Master Degree or Equivalent,150000,21.0,39.5
Master Degree or Equivalent,80000,17.0,39.5
Bachelor Degree or Equivalent,130115,11.0,29.5
Master Degree or Equivalent,86271,6.0,29.5
Master Degree or Equivalent,79356,11.0,39.5
Associate Degree or Short-cycle Tertiary Education,4058,5.0,29.5
Bachelor Degree or Equivalent,90000,4.0,29.5
Professional Degree,140000,6.0,39.5
Master Degree or Equivalent,139216,24.0,59.5
Associate Degree or Short-cycle Tertiary Education,160000,12.0,29.5
Associate Degree or Short-cycle Tertiary Education,13407,14.0,29.5
Master Degree or Equivalent,195000,18.0,49.5
Bachelor Degree or Equivalent,123200,2.0,21.0
Bachelor Degree or Equivalent,93000,3.0,29.5
Master Degree or Equivalent,82459,16.0,39.5
Master Degree or Equivalent,19276,2.0,29.5
Bachelor Degree or Equivalent,30000,15.0,39.5
Bachelor Degree or Equivalent,110000,35.0,70.0
Bachelor Degree or Equivalent,161380,29.0,49.5
Bachelor Degree or Equivalent,210000,27.0,59.5
Bachelor Degree or Equivalent,171008,8.0,29.5
Bachelor Degree or Equivalent,180000,41.0,59.5
Bachelor Degree or Equivalent,79082,5.0,29.5
Bachelor Degree or Equivalent,120000,31.0,59.5
